week_ending,dengue_cases,influenza_cases,covid_cases,hand_foot_mouth_cases,region,hospital_admissions
2020-01-01,47.0,132.65883939231585,0.0,65,East,14.922893519196647
2020-01-08,57.51919410135435,138.1130115701713,0.0,73,North,21.035306956366426
2020-01-15,46.99825924740617,143.9919293734788,0.0,92,Central,20.298380818834346
2020-01-22,59.39770570833094,133.26566298916626,0.0,71,West,16.277521237663098
2020-01-29,67.67931202285678,144.91392275424033,0.0,84,Central,
2020-02-05,54.806733838730565,155.92638235556655,0.0,81,South,6.772483719080756
2020-02-12,59.74608285218368,161.3028433206316,0.0,71,West,
2020-02-19,64.46646662430678,141.05323817906827,0.0,64,East,0.0
2020-02-26,68.94048067544597,155.19747224458166,0.0,73,West,18.12320049481329
2020-03-04,63.14464501890963,109.76510653757786,0.0,92,East,11.28854222764786
2020-03-11,68.05977818031678,126.79488689930956,0.0,87,East,17.691802995262794
2020-03-18,62.6713027447274,130.3341267984129,0.0,76,West,19.923994040567326
2020-03-25,71.96947756440758,134.43795366128467,0.0,91,East,14.41837315901704
2020-04-01,71.94955292832677,116.1684307317165,0.0,78,East,13.733184877984254
2020-04-08,65.61184622164808,126.59356844793214,0.0,80,South,10.569261322074084
2020-04-15,72.96173687001018,108.78624108508271,0.0,94,Central,11.005063655393114
2020-04-22,58.00958064913503,128.82302592030805,0.0,74,Central,15.884458923293577
2020-04-29,61.77054472474755,90.78298341163205,0.0,95,South,9.844328491229804
2020-05-06,61.26436605050337,97.74639782156737,0.0,83,West,9.418718162364588
2020-05-13,64.51503697247217,75.79349834639251,0.0,86,North,10.149594317352587
2020-05-20,75.55042304827177,86.00318112259424,0.0,71,North,16.28685234126484
2020-05-27,61.40181916872006,81.45175246799676,0.0,108,North,
2020-06-03,45.103451052668575,77.21171337684459,0.0,91,South,8.038288186348924
2020-06-10,37.69193005584738,85.35060463096085,0.0,73,South,
2020-06-17,50.2056699782255,55.929930923532396,0.0,79,East,13.618173061925367
2020-06-24,57.68427515972726,74.00418113345748,0.0,76,North,8.272152688648506
2020-07-01,42.16790961150097,69.61996035658373,0.0,70,West,4.108672048720672
2020-07-08,35.69665723202643,48.81524751995572,0.0,107,West,3.588623377838652
2020-07-15,48.30988329935978,56.61879040474523,0.0,84,North,12.927215015250137
2020-07-22,44.04560741048634,57.049647714714666,0.0,88,North,17.42356961980169
2020-07-29,43.93989785640771,76.11688548473474,0.0,73,North,
2020-08-05,33.02629708013387,60.819432665351066,0.0,70,South,
2020-08-12,43.33528736962219,59.14609818383377,0.0,76,South,6.446849712643182
2020-08-19,28.89380529679177,64.07574920994006,0.0,78,South,6.647948470516398
2020-08-26,27.724812637251265,65.57764778674377,0.0,83,Central,9.986211480837293
2020-09-02,35.84693060568141,69.6119404642443,0.0,70,West,2.609625040772924
2020-09-09,40.27414323323995,77.13029313624291,0.0,84,West,2.568383796888819
2020-09-16,20.015574611974486,59.0766609679897,0.0,90,East,5.645826275265083
2020-09-23,36.07534355457987,68.38818115020678,0.0,82,South,5.734939811932483
2020-09-30,36.452497984665854,72.99617425855557,0.0,71,Central,11.92866350025199
2020-10-07,31.14103010265126,80.82723826761055,0.0,74,Central,9.592263939597572
2020-10-14,28.129972085702512,110.80441779248147,0.0,81,West,
2020-10-21,44.40357079728548,105.84842993290322,0.0,57,South,9.210371844489378
2020-10-28,32.94153872333246,95.87892719297629,0.0,79,East,
2020-11-04,30.71937713779137,99.81577735915255,0.0,75,South,3.8739866737679653
2020-11-11,33.70876634976164,104.58033994892723,0.0,58,North,11.6539428011964
2020-11-18,53.878016815859674,106.09671889732519,0.0,84,South,4.344187691086692
2020-11-25,46.19257393191775,115.29297152678458,0.0,79,North,5.016567580833744
2020-12-02,52.61556846304617,128.10225454241387,0.0,80,North,8.629941579598038
2020-12-09,58.108403844103094,135.46388879774054,0.0,69,East,20.730651507387467
2020-12-16,46.631370995296216,114.32432586999597,0.0,75,West,11.698825545299517
2020-12-23,47.14428085934501,146.63800104808604,0.0,71,South,9.093937795616927
2020-12-30,53.60710458434029,128.3680591457604,1045.0,107,North,170.40129504549492
2021-01-06,47.98061115464682,135.48694157829746,1015.0,85,South,163.9981476015021
2021-01-13,75.22699231284653,142.97682535099426,1035.0,92,West,167.46167365313877
2021-01-20,62.31046481816359,138.82990696668983,1050.0,85,West,163.68939755120974
2021-01-27,83.19784044782665,112.04852672987823,1020.0,99,Central,
2021-02-03,65.85905466165556,143.64513146733645,1000.0,80,West,164.8172526830826
2021-02-10,62.26764550862447,135.64207625910072,965.0,92,East,168.6275602311587
2021-02-17,70.40117514676349,118.07126833807398,895.0,85,North,151.89528903428445
2021-02-24,53.24158726188925,130.97365883068943,1050.0,72,Central,172.12944029152862
2021-03-03,80.77549469174005,119.39859043483594,1040.0,77,East,167.87145734783098
2021-03-10,60.994392673869555,113.40301142606853,945.0,67,South,148.04286201940582
2021-03-17,73.89479432041314,121.05056851242163,1065.0,92,North,172.10335293522016
2021-03-24,63.478286161710756,122.4105929879962,950.0,82,West,149.34689529454172
2021-03-31,65.7515028740165,91.55699633516842,970.0,92,North,159.90395200781384
2021-04-07,70.72602159386417,105.56709286768381,1120.0,75,South,188.51421929125627
2021-04-14,55.418177502585245,96.52036816908783,1160.0,89,Central,183.06327482812728
2021-04-21,60.848803618585656,86.49721294438635,925.0,88,Central,153.88219587103387
2021-04-28,67.04289894230374,92.57764245376961,1095.0,89,Central,172.13702666583458
2021-05-05,61.029230240062155,79.84002192690352,1070.0,81,West,169.08258992931462
2021-05-12,61.8398738101116,82.35981826102346,1040.0,75,East,162.22715837123513
2021-05-19,60.50970453020422,60.20839788738524,945.0,77,East,140.14572517203712
2021-05-26,68.07584032580303,63.45188995519829,1150.0,77,North,182.2975117807472
2021-06-02,48.57705090814953,58.15013294170546,925.0,73,West,
2021-06-09,44.05314020056885,48.35572146815608,1120.0,72,Central,180.15240508727288
2021-06-16,53.54431229051802,49.11316850520956,1040.0,83,Central,167.78728091765873
2021-06-23,45.090531007306616,71.4581963132369,1150.0,83,South,184.6267274115875
2021-06-30,30.73088332695731,49.41716741233247,1090.0,77,South,
2021-07-07,50.50295674471063,78.00666464627582,960.0,80,Central,155.24811543713832
2021-07-14,34.44224053318283,62.23322702972316,940.0,77,Central,155.46885523221238
2021-07-21,45.58156042370568,69.09324558639366,875.0,82,West,141.16215757523565
2021-07-28,36.95055571596845,57.57302083747328,965.0,83,East,160.4666746787955
2021-08-04,34.575207145230806,64.6489810244872,865.0,89,South,146.53480032134675
2021-08-11,20.477423027843173,53.28805759050689,1010.0,101,East,154.86980383085142
2021-08-18,31.674690277479563,64.44821193854581,960.0,71,West,146.90518089927238
2021-08-25,33.179795851144156,62.07910507625978,1100.0,84,Central,167.61462401183266
2021-09-01,35.00062306211687,79.12289947999261,940.0,73,East,140.8755281796952
2021-09-08,26.140026004426606,77.51518040504769,1090.0,76,Central,167.39774712361745
2021-09-15,33.59578408918028,82.18598196637356,1095.0,80,Central,177.75720475601793
2021-09-22,34.360637416951306,84.06090164493409,1140.0,74,North,167.61892094768564
2021-09-29,21.42240242277079,105.06228546647654,1060.0,89,East,161.20808751203217
2021-10-06,28.764165951579578,101.11046497364876,995.0,75,East,156.54628263558038
2021-10-13,45.36455467265845,102.12502628738778,1060.0,86,Central,164.25678077852675
2021-10-20,44.19807554145787,98.02609104234156,985.0,78,West,154.43468238506176
2021-10-27,41.23552188551423,136.7355887919411,940.0,71,North,149.39868325603697
2021-11-03,34.444438645795806,102.17850061462363,970.0,71,Central,152.76566779500203
2021-11-10,38.78963936251661,127.28405411145027,955.0,86,South,149.84589316127548
2021-11-17,49.233766670205625,115.9868507596642,825.0,82,South,130.41665313572605
2021-11-24,60.73788737374654,122.22790766425518,975.0,104,North,163.10673285019357
2021-12-01,49.262112626253476,123.95559711317536,1065.0,89,West,176.12226200758585
2021-12-08,48.76623332979435,142.12646896976554,985.0,100,Central,
2021-12-15,64.21036063748338,134.70594280227027,1150.0,72,East,171.85834620749745
2021-12-22,50.55556135420418,136.66885872531512,1025.0,83,North,
2021-12-29,74.76447811448578,137.99987817883624,65.0,76,West,17.982439627629706
2022-01-05,63.801924458542146,138.69372826034177,52.0,88,East,22.178603051170004
2022-01-12,55.635445327341536,146.75528571846672,44.0,89,South,11.672949453516406
2022-01-19,76.23583404842041,129.19949926986482,44.0,84,South,27.172333294633646
2022-01-26,71.5775975772292,132.05115147687323,56.0,83,East,34.87865680807422
2022-02-02,65.6393625830487,148.34446397906825,48.0,82,North,22.095194003284966
2022-02-09,76.40421591081973,133.1225523670901,54.0,86,South,21.926035967138894
2022-02-16,69.8599739955734,112.4367393822061,57.0,72,Central,19.547136492717325
2022-02-23,76.99937693788313,124.34573738185004,44.0,83,East,24.426221119445373
2022-03-02,73.82020414885585,131.91471309387614,52.0,72,East,24.61618982425232
2022-03-09,79.32530972252044,100.21424955732093,39.0,82,South,23.810735717882416
2022-03-16,65.52257697215683,99.31922178521262,45.0,85,North,15.128636173485901
2022-03-23,69.42479285476918,110.30760405931309,59.0,78,Central,23.0084480204658
2022-03-30,65.04944428403155,92.25922785573124,53.0,68,North,16.355565487658737
2022-04-06,59.41843957629433,78.25451018676276,38.0,86,West,10.265991226617299
2022-04-13,41.55775946681718,74.37317261555836,47.0,74,West,14.719357472442317
2022-04-20,67.49704325528938,91.69297134879764,55.0,71,South,14.971789241083409
