disease_name,count,mean,median,std,min,max,q25,q75,cv,iqr,total_cases
"Hand, Foot and Mouth Disease",470,500.87021276595743,508.5,360.9576373415285,0,1682,219.0,728.0,0.720661017847739,509.0,235409.0
Dengue Fever,470,269.45106382978724,214.5,267.81692014773074,24,1791,78.0,370.0,0.9939352858406646,292.0,126642.0
Salmonellosis(non-enteric fevers),470,35.1,35.0,10.30145827754125,0,80,28.0,42.0,0.29348883981599005,14.0,16497.0
Mumps,470,8.963829787234042,9.0,3.462373166684879,0,19,7.0,11.0,0.3862604767011377,4.0,4213.0
Campylobacterenterosis,261,8.191570881226054,8.0,3.5929532827566666,0,20,6.0,10.0,0.43861590589311966,4.0,2138.0
Campylobacter enteritis,209,9.157894736842104,9.0,3.792572113864995,2,21,7.0,11.0,0.4141314377208903,4.0,1913.9999999999998
Chikungunya Fever,261,5.164750957854406,1.0,10.199531608554059,0,49,0.0,3.0,1.9748351259885826,3.0,1348.0
Pneumococcal Disease (invasive),470,2.5595744680851062,2.0,1.8283668099347095,0,11,1.0,4.0,0.714324522584633,3.0,1203.0
Measles,469,1.4349680170575694,1.0,2.169754468621533,0,17,0.0,2.0,1.5120577203320933,2.0,673.0
Acute Viral hepatitis B,470,1.1638297872340426,1.0,1.2547437546935176,0,10,0.0,2.0,1.07811620604379,2.0,547.0
Typhoid,470,1.1425531914893616,1.0,1.2505426849010448,0,11,0.0,2.0,1.0945159439543597,2.0,537.0
Malaria,470,1.0957446808510638,1.0,1.3965320200675642,0,9,0.0,2.0,1.2745049503529227,2.0,515.0
Pertussis,470,0.9723404255319149,1.0,1.2735126995899482,0,9,0.0,2.0,1.3097395378715002,2.0,457.0
Zika Virus Infection,34,13.352941176470589,1.0,40.75936951436512,0,214,0.0,4.0,3.0524637962299868,4.0,454.0
Viral Hepatitis E,261,1.5670498084291187,1.0,1.472930919515041,0,9,0.0,2.0,0.9399388019399162,2.0,409.0
Melioidosis,470,0.8191489361702128,1.0,0.9276924849542855,0,4,0.0,1.0,1.1325077089052316,1.0,385.0
Viral Hepatitis A,261,1.4444444444444444,1.0,1.4390761518905701,0,7,0.0,2.0,0.9962834897703947,2.0,377.0
Dengue Haemorrhagic Fever,470,0.7787234042553192,0.0,1.103384243590288,0,8,0.0,1.0,1.4169141925886213,1.0,366.0
Acute Viral Hepatitis A,209,1.186602870813397,1.0,1.2590489543360879,0,7,0.0,2.0,1.0610533526461385,2.0,248.0
Acute Viral Hepatitis E,209,1.0334928229665072,1.0,1.153517926570453,0,7,0.0,2.0,1.1161354011723363,2.0,216.0
Legionellosis,470,0.43617021276595747,0.0,0.6935356501613533,0,5,0.0,1.0,1.5900573442723709,1.0,205.0
Rubella,470,0.42340425531914894,0.0,0.7484775638062233,0,5,0.0,1.0,1.7677610803463566,1.0,199.0
Paratyphoid,470,0.42127659574468085,0.0,0.7396582424713212,0,4,0.0,1.0,1.7557544139470755,1.0,198.0
Acute Viral hepatitis C,470,0.3893617021276596,0.0,1.2844376105916662,0,24,0.0,1.0,3.2988288359458093,1.0,183.0
Leptospirosis,209,0.7751196172248804,1.0,0.8836947730800967,0,4,0.0,1.0,1.140075355393458,1.0,162.0
Encephalitis,470,0.3425531914893617,0.0,0.6720888993547269,0,5,0.0,1.0,1.9619986502901967,1.0,161.0
Chikungunya,209,0.5454545454545454,0.0,0.9801348558562418,0,6,0.0,1.0,1.7969139024031102,1.0,113.99999999999999
Zika,209,0.3875598086124402,0.0,1.1085499353417136,0,7,0.0,0.0,2.860332549215039,0.0,81.0
Meningococcal Infection,470,0.13617021276595745,0.0,0.373096037594359,0,3,0.0,0.0,2.7399240260835738,0.0,64.0
Haemophilus influenzae type b,470,0.1127659574468085,0.0,0.3891475683705316,0,3,0.0,0.0,3.4509312666820726,0.0,53.0
Murine Typhus,209,0.17703349282296652,0.0,0.47256338995597597,0,3,0.0,0.0,2.6693445540756477,0.0,37.0
Cholera,470,0.04042553191489362,0.0,0.19716495368836745,0,1,0.0,0.0,4.877238328080669,0.0,19.0
Botulism,209,0.014354066985645933,0.0,0.11923106604733497,0,1,0.0,0.0,8.306430934631003,0.0,3.0
Diphtheria,470,0.00425531914893617,0.0,0.0651632256244158,0,1,0.0,0.0,15.313358021737713,0.0,2.0
Avian Influenza,470,0.002127659574468085,0.0,0.04612656040144428,0,1,0.0,0.0,21.67948338867881,0.0,1.0
Tetanus,209,0.004784688995215311,0.0,0.06917144638660745,0,1,0.0,0.0,14.456832294800957,0.0,1.0
Poliomyelitis,470,0.0,0.0,0.0,0,0,0.0,0.0,NaN,0.0,0.0
Ebola Virus Disease,209,0.0,0.0,0.0,0,0,0.0,0.0,NaN,0.0,0.0
Plague,470,0.0,0.0,0.0,0,0,0.0,0.0,NaN,0.0,0.0
Nipah virus infection,261,0.0,0.0,0.0,0,0,0.0,0.0,NaN,0.0,0.0
SARS,470,0.0,0.0,0.0,0,0,0.0,0.0,NaN,0.0,0.0
Yellow Fever,470,0.0,0.0,0.0,0,0,0.0,0.0,NaN,0.0,0.0
Japanese Encephalitis,209,0.0,0.0,0.0,0,0,0.0,0.0,NaN,0.0,0.0
Nipah,209,0.0,0.0,0.0,0,0,0.0,0.0,NaN,0.0,0.0
