disease_name,total_cases,cagr,trend_direction,outbreak_frequency,coefficient_variation,composite_burden_score,sufficient_data,trend_reliable,outbreak_detectable
Dengue Fever,126642,28.679520984292317,Increasing,2,99.39352858406646,54.00827129757339,true,true,true
"Hand, Foot and Mouth Disease",235409,-100.0,Decreasing,2,72.06610178477389,42.237259474086926,true,true,true
Dengue Haemorrhagic Fever,366,7.368033137422003,Stable,8,141.69141925886214,31.470001587438816,true,false,true
Acute Viral hepatitis C,183,30.35968427946831,Stable,3,329.88288359458096,31.01525074394581,true,false,true
Measles,673,-13.62448686303127,Stable,7,151.20577203320934,26.74106063217604,true,false,true
Salmonellosis(non-enteric fevers),16497,0.6021866416712873,Stable,2,29.348883981599005,24.35029902277177,true,false,true
Malaria,515,-26.074912267353444,Decreasing,7,127.45049503529226,23.906299993919433,true,true,true
Haemophilus influenzae type b,53,-0.23781919812509988,Stable,2,345.0931266682073,23.870214609056966,false,false,true
Acute Viral hepatitis B,547,-4.470959178042189,Decreasing,3,107.81162060437902,22.950559130148843,true,true,true
Melioidosis,385,2.3336988791750057,Stable,2,113.25077089052316,22.855892899964086,true,false,true
Paratyphoid,198,-19.74324846394502,Decreasing,5,175.57544139470755,22.714596012724968,true,true,true
Legionellosis,205,-8.153899898059858,Decreasing,3,159.0057344272371,22.32742414616404,true,true,true
Rubella,199,-40.68105239111125,Decreasing,7,176.77610803463566,21.213337359682285,true,true,true
Typhoid,537,-12.285542771025126,Decreasing,2,109.45159439543598,20.272744296455826,true,true,true
Pertussis,457,-9.507285751558026,Increasing,1,130.97395378715,19.56722028152233,true,true,true
Mumps,4213,-7.524644113973878,Decreasing,0,38.62604767011377,18.44270478691293,true,true,true
Pneumococcal Disease (invasive),1203,-15.301821953830231,Decreasing,0,71.4324522584633,16.753066836350214,true,true,true
Avian Influenza,1,,Stable,0,2167.948338867881,15.005710910698662,false,false,true
Zika Virus Infection,454,,Stable,1,305.2463796229987,14.437847371245379,false,false,true
Diphtheria,2,,Stable,0,1531.3358021737713,10.5406786718516,false,false,true
