rank,disease_name,total_cases,annual_avg_cases,peak_weekly_cases,incidence_rate_per_100k,trend_slope,trend_pvalue,trend_r_value,mann_kendall_tau,mann_kendall_pvalue,cagr,trend_direction,outbreak_threshold,outbreak_frequency,avg_outbreak_duration,outbreak_intensity,mean_cases,std_dev,coefficient_variation,iqr,total_cases_score,annual_avg_cases_score,peak_weekly_cases_score,incidence_rate_per_100k_score,cagr_score,outbreak_frequency_score,outbreak_intensity_score,coefficient_variation_score,volume_score,trend_score,outbreak_score,variability_score,composite_burden_score,non_zero_weeks,sufficient_data,trend_reliable,outbreak_detectable,volume_criterion,trend_criterion,outbreak_criterion,variability_criterion,composite_score,tier
1,Dengue Fever,126642,14071.333333333334,1791,2221.789473684211,0.39383474858491685,0.00001285486727251086,0.1997306797181471,0.03369952690596429,0.27557573518126466,28.679520984292317,Increasing,805.0849041252487,2,8.0,6.244755244755245,269.45106382978724,267.81692014773074,99.39352858406646,292.0,53.79658381795088,53.79658381795089,100.0,53.7965838179509,98.71113273673322,25.0,2.0022430399788895,3.2752577600461428,65.34743786346317,98.71113273673322,13.501121519989445,3.2752577600461428,54.00827129757339,470,true,true,true,53.79658381795089,98.71113273673322,13.501121519989445,3.2752577600461428,49.387929679368476,Medium
2,"Hand, Foot and Mouth Disease",235409,26156.555555555555,1682,4129.98245614035,-1.2468230739512898,4.2480702259750136e-27,-0.4691560866167122,-0.24974848150640003,2.1970798141167135e-15,-100.0,Decreasing,1222.7854874490147,2,5.0,2.9803343166175025,500.87021276595743,360.9576373415285,72.06610178477389,509.0,100.0,100.0,93.91401451702959,100.0,0.0,25.0,0.46242184746108617,1.9974389175857308,98.4785036292574,0.0,12.731210923730544,1.9974389175857308,42.237259474086926,365,true,true,true,100.0,0.0,12.731210923730544,1.9974389175857308,42.845858022383965,Medium
3,Dengue Haemorrhagic Fever,366,40.666666666666664,8,6.421052631578948,0.0004748102362753058,0.20594029786929335,0.05844697717958308,0.039906718295578375,0.26093127139403016,7.368033137422003,Stable,2.985491891435895,8,2.625,,0.7787234042553192,1.103384243590288,141.69141925886214,1.0,0.155474089775667,0.15547408977566704,0.44667783361250696,0.15547408977566707,82.36291283679681,100.0,,5.253089119637734,0.228275025734877,82.36291283679681,50.0,5.253089119637734,31.470001587438816,220,true,false,true,0.155474089775667,82.36291283679681,50.0,5.253089119637734,31.440881213055132,Low
4,Acute Viral hepatitis C,183,20.333333333333332,24,3.210526315789474,0.00009853352639354933,0.8217534453758274,0.010419329478755256,0.08233286862316404,0.02515746881933956,30.35968427946831,Stable,2.9582369233109906,3,2.0,,0.3893617021276596,1.2844376105916662,329.88288359458096,1.0,0.0777370448878335,0.07773704488783352,1.3400335008375208,0.07773704488783353,100.0,37.5,,14.052841869304723,0.39331115887525536,100.0,18.75,14.052841869304723,31.01525074394581,119,true,false,true,0.0777370448878335,100.0,18.75,14.052841869304723,30.88902109835084,Low
5,Measles,673,74.77777777777777,17,11.807017543859649,-0.00010387622327920846,0.8885446106922286,-0.00648858931491251,-0.04997211195319001,0.1462135806543731,-13.62448686303127,Stable,5.774476954300636,7,3.142857142857143,10.285714285714286,1.4349680170575694,2.169754468621533,151.20577203320934,2.0,0.28588541644542054,0.28588541644542054,0.9491903964265773,0.28588541644542054,66.25937582956612,87.5,3.908355795148248,5.697976204622664,0.45171166144070973,66.25937582956612,45.70417789757413,5.697976204622664,26.74106063217604,260,true,false,true,0.28588541644542054,66.25937582956612,45.70417789757413,5.697976204622664,26.674730134177924,Low
6,Salmonellosis(non-enteric fevers),16497,1833.0,80,289.42105263157896,0.004128294696729116,0.23889554766554824,0.05443030191343077,0.04761583152829873,0.12833066547461722,0.6021866416712873,Stable,55.70291655508251,2,2.0,2.1714285714285713,35.1,10.30145827754125,29.348883981599005,14.0,7.007803439970434,7.007803439970435,4.46677833612507,7.007803439970436,77.17277561519545,25.0,0.08086253369272223,0.0,6.372547164009093,77.17277561519545,12.540431266846362,0.0,24.35029902277177,466,true,false,true,7.007803439970434,77.17277561519545,12.540431266846362,0.0,24.604401533156306,Low
7,Malaria,515,57.22222222222222,9,9.035087719298245,-0.004849525435375154,2.0897957329221986e-27,-0.4716470291883586,-0.35332729249361766,3.540779630474731e-24,-26.074912267353444,Decreasing,3.8888087209861917,7,2.7142857142857144,5.714285714285714,1.0957446808510638,1.3965320200675642,127.45049503529226,2.0,0.21876818643297408,0.2187681864329741,0.5025125628140703,0.2187681864329741,56.708550761878286,87.5,1.752021563342318,4.587189566028844,0.28970428052824815,56.708550761878286,44.62601078167116,4.587189566028844,23.906299993919433,273,true,true,true,0.21876818643297408,56.708550761878286,44.62601078167116,4.587189566028844,23.87792555628132,Low
8,Acute Viral hepatitis B,547,60.77777777777778,10,9.596491228070175,-0.001577518868014486,0.00019961552053869843,-0.17076083867878541,-0.12310882155358803,0.00038870512285601376,-4.470959178042189,Decreasing,3.6733172966210765,3,2.0,6.333333333333333,1.1638297872340426,1.2547437546935176,107.81162060437902,2.0,0.23236154947346957,0.2323615494734696,0.5583472920156337,0.2323615494734696,73.28112318618408,37.5,2.0440251572327046,3.668884158906334,0.31385798510901064,73.28112318618408,19.77201257861635,3.668884158906334,22.950559130148843,308,true,true,true,0.2323615494734696,73.28112318618408,19.77201257861635,3.668884158906334,22.917960555894627,Low
9,Melioidosis,385,42.77777777777778,4,6.75438596491228,0.0004221627039911279,0.18100198523757596,0.06180798478624844,0.054466950423284616,0.1240388242578675,2.3336988791750057,Stable,2.6745339060787834,2,2.0,3.5,0.8191489361702128,0.9276924849542855,113.25077089052316,1.0,0.1635451490809612,0.16354514908096124,0.22333891680625348,0.1635451490809612,78.50103307997394,25.0,0.7075471698113207,3.923216510563712,0.1784935910122843,78.50103307997394,12.85377358490566,3.923216510563712,22.855892899964086,255,true,false,true,0.16354514908096124,78.50103307997394,12.85377358490566,3.923216510563712,22.849913523191557,Low
10,Paratyphoid,198,22.0,4,3.473684210526316,-0.001581044114413316,1.3990147457834438e-10,-0.29032313582560443,-0.21878924111885617,2.450642282649839e-9,-19.74324846394502,Decreasing,1.9005930806873226,5,2.6,,0.42127659574468085,0.7396582424713212,175.57544139470755,1.0,0.08410893381306576,0.08410893381306578,0.22333891680625348,0.08410893381306579,61.56562282246601,62.5,,6.837491568559482,0.11891642956136271,61.56562282246601,31.25,6.837491568559482,22.714596012724968,148,true,true,true,0.08410893381306578,61.56562282246601,31.25,6.837491568559482,22.700673014425654,Low
