scenario,disease_name,rank,composite_score,tier
base_case,Dengue Fever,1,49.387929679368476,Medium
base_case,"Hand, Foot and Mouth Disease",2,42.845858022383965,Medium
base_case,Dengue Haemorrhagic Fever,3,31.440881213055132,Low
base_case,Acute Viral hepatitis C,4,30.88902109835084,Low
base_case,Measles,5,26.674730134177924,Low
base_case,Salmonellosis(non-enteric fevers),6,24.604401533156306,Low
base_case,Malaria,7,23.87792555628132,Low
base_case,Acute Viral hepatitis B,8,22.917960555894627,Low
base_case,Melioidosis,9,22.849913523191557,Low
base_case,Paratyphoid,10,22.700673014425654,Low
base_case,Legionellosis,11,22.308215029761076,Low
base_case,Rubella,12,21.19387336772231,Low
base_case,Typhoid,13,20.234137456686437,Low
base_case,Pertussis,14,19.53638204683313,Low
base_case,Mumps,15,18.515583921709982,Low
base_case,Pneumococcal Disease (invasive),16,16.742751183408856,Low
base_case,Encephalitis,17,4.947638768644178,Low
base_case,Campylobacterenterosis,18,,Low
base_case,Viral Hepatitis E,19,,Low
base_case,Viral Hepatitis A,20,,Low
base_case,Leptospirosis,21,,Low
base_case,Campylobacter enteritis,22,,Low
base_case,Acute Viral Hepatitis E,23,,Low
base_case,Acute Viral Hepatitis A,24,,Low
base_case,Chikungunya,25,,Low
base_case,Chikungunya Fever,26,,Low
base_case,Meningococcal Infection,27,,Low
volume_focused,"Hand, Foot and Mouth Disease",1,61.472864984131625,Medium
volume_focused,Dengue Fever,2,53.697814766120736,Medium
volume_focused,Acute Viral hepatitis C,3,23.326926413863173,Low
volume_focused,Dengue Haemorrhagic Fever,4,22.091175933188538,Low
volume_focused,Salmonellosis(non-enteric fevers),5,20.893280313705986,Low
volume_focused,Measles,6,18.56362182600016,Low
volume_focused,Melioidosis,7,17.4760327149903,Low
volume_focused,Acute Viral hepatitis B,8,17.139731240673168,Low
volume_focused,Legionellosis,9,16.624701136256206,Low
volume_focused,Malaria,10,16.394291099005443,Low
volume_focused,Paratyphoid,11,16.17233908163699,Low
volume_focused,Typhoid,12,15.348440218553316,Low
volume_focused,Mumps,13,15.304893549665756,Low
volume_focused,Pertussis,14,15.170970367793004,Low
volume_focused,Rubella,15,14.21589545298296,Low
volume_focused,Pneumococcal Disease (invasive),16,13.497931889721857,Low
volume_focused,Encephalitis,17,2.6962230483619494,Low
volume_focused,Campylobacterenterosis,18,,Low
volume_focused,Viral Hepatitis E,19,,Low
volume_focused,Viral Hepatitis A,20,,Low
volume_focused,Leptospirosis,21,,Low
volume_focused,Campylobacter enteritis,22,,Low
